category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,53/436,115/1067,0.4608695652173913,1.1278619864379738,1.206088178131877,0.1345016873147257,0.9949196738743784,0.9949196738743783,P35080/P12270/P28331/P55072/P20618/P35658/Q9BVL2/Q13148/P62191/P20674/P14406/P22626/P35637/P33176/Q14203/P55957/P43686/Q9UNM6/P37198/P84103/P43243/P07197/P04040/P51665/P25705/O14818/P52948/P11021/P14854/P17980/O75251/Q7Z3B4/P07196/P60900/P63261/Q07866/P06576/P07737/P18859/P49792/Q8N1F7/O43181/P22695/P62195/Q08209/P49790/Q13200/Q86V81/Q8WWM7/Q13561/P07437/Q99460/P51991,53
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,10/436,18/1067,0.5555555555555556,1.3595820591233436,1.278361524132432,0.14996542929972262,0.9949196738743784,0.9949196738743783,P10321/P07900/P34932/P11142/P27797/P27824/P11021/P30101/P61289/P04440,10
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,9/436,16/1067,0.5625,1.3765768348623852,1.2610125288061271,0.1573521324517602,0.9949196738743784,0.9949196738743783,P07900/P07339/P11142/O43306/P14625/Q02790/Q01970/Q13451/P08047,9
Genetic Information Processing,Replication and repair,hsa03420,Nucleotide excision repair,8/436,14/1067,0.5714285714285714,1.3984272608125818,1.246826560511915,0.164927817438419,0.9949196738743784,0.9949196738743783,P27694/Q13620/P12004/Q16531/P62877/P52434/P19388/P54727,8
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,22/436,45/1067,0.4888888888888889,1.1964322120285422,1.1186666310799205,0.16730994073149774,0.9949196738743784,0.9949196738743783,P06733/P00558/P60891/O95336/P22033/P07954/P14618/P29401/P04040/P00505/P04406/P60174/O43175/P50213/Q96I99/Q99798/P30084/Q96AT9/P11413/Q9BWD1/P09972/Q9P2R7,22
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway,7/436,12/1067,0.5833333333333334,1.4275611620795108,1.2375701033882354,0.17254850147310957,0.9949196738743784,0.9949196738743783,P60891/O95336/P29401/P36871/Q96AT9/P11413/P09972,7
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,7/436,12/1067,0.5833333333333334,1.4275611620795108,1.2375701033882354,0.17254850147310957,0.9949196738743784,0.9949196738743783,Q13153/P29966/P50552/P61158/P60953/P46109/P50570,7
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,7/436,12/1067,0.5833333333333334,1.4275611620795108,1.2375701033882354,0.17254850147310957,0.9949196738743784,0.9949196738743783,Q9Y478/O43306/P13639/P60660/Q01970/P63261/Q08209,7
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,7/436,12/1067,0.5833333333333334,1.4275611620795108,1.2375701033882354,0.17254850147310957,0.9949196738743784,0.9949196738743783,P05023/O43306/P63010/Q01970/P50570/Q00610/P09497,7
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,12/436,23/1067,0.5217391304347826,1.27682489030714,1.1151312141704597,0.1832278862705613,0.9949196738743784,0.9949196738743783,P21333/O75369/O43707/Q9Y490/Q13153/P08648/P50552/P63261/P60953/P11047/P46109/Q13177,12
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,11/436,21/1067,0.5238095238095238,1.2818916557448667,1.0840097614040978,0.1940612871677939,0.9949196738743784,0.9949196738743783,P10321/P27797/Q13546/O43306/P55957/Q01970/P30101/P46109/P08047/Q14790/Q08209,11
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,11/436,21/1067,0.5238095238095238,1.2818916557448667,1.0840097614040978,0.1940612871677939,0.9949196738743784,0.9949196738743783,Q9NZI8/Q16658/P63279/P26358/P08670/P08648/P29966/P61978/P16949/P46109/O94925,11
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,9/436,17/1067,0.5294117647058824,1.2956017269293039,1.0208077191156015,0.2185303487416415,0.9949196738743784,0.9949196738743783,P10809/P07339/P55957/P38646/Q15904/P51149/Q14790/P04440/Q08209,9
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,12/436,24/1067,0.5,1.223623853211009,0.9206377110286068,0.23697893101765385,0.9949196738743784,0.9949196738743783,P07900/P10809/P34932/P11142/P55957/P14625/Q01970/P11021/P60953/Q14790/Q96HE7/Q08209,12
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,19/436,40/1067,0.475,1.1624426605504588,0.8700656740463338,0.2386790146072548,0.9949196738743784,0.9949196738743783,P10321/P27797/P62191/Q13546/P55957/P43686/Q9UNM6/Q13573/Q7Z434/P08670/P51665/P30101/P17980/Q93009/Q14790/P62195/P04440/Q13200/Q99460,19
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,7/436,13/1067,0.5384615384615384,1.3177487649964714,0.9577284956064538,0.24781678367919546,0.9949196738743784,0.9949196738743783,Q9HB71/Q8N163/O14641/Q01970/P62877/P63208/Q08209,7
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,14/436,29/1067,0.4827586206896552,1.1814299272382158,0.8230314215513991,0.26186642966877194,0.9949196738743784,0.9949196738743783,P06733/P00558/P60891/P14618/P29401/P31153/P00505/P04406/P60174/O43175/P50213/Q99798/Q96AT9/P09972,14
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,14/436,29/1067,0.4827586206896552,1.1814299272382158,0.8230314215513991,0.26186642966877194,0.9949196738743784,0.9949196738743783,P10321/P27797/Q86Y82/P27824/P08648/Q9Y6G9/P63261/Q15904/P51149/P02786/P04440/P60468/P07437/Q14204,14
Human Diseases,Cancer: specific types,hsa05211,Renal cell carcinoma,6/436,11/1067,0.5454545454545454,1.334862385321101,0.9275512549666719,0.2648834290631331,0.9949196738743784,0.9949196738743783,P07954/Q13153/P62877/P60953/P46109/Q13177,6
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,19/436,41/1067,0.4634146341463415,1.134090400537033,0.7274834259717984,0.28387825900308455,0.9949196738743784,0.9949196738743783,P12270/P07900/P09211/P35221/O43306/O14641/P55957/P14625/P07954/Q16204/Q01970/P62877/P63208/P60953/P11047/P46109/P08047/Q14790/P43246,19
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,9/436,18/1067,0.5,1.223623853211009,0.7950122164608143,0.2870952681835602,0.9949196738743784,0.9949196738743783,P21333/P17844/Q13153/P08648/P46940/P63261/P23588/P60953/Q14247,9
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,8/436,16/1067,0.5,1.223623853211009,0.748831193352706,0.3075818177804171,0.9949196738743784,0.9949196738743783,P62826/Q8TD16/Q8WUM4/P62937/P49792/Q9H3P2/P46821/P49790,8
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,8/436,16/1067,0.5,1.223623853211009,0.748831193352706,0.3075818177804171,0.9949196738743784,0.9949196738743783,P27348/P35221/P63104/O14641/Q04917/Q4VCS5/P63261/P62258,8
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,7/436,14/1067,0.5,1.223623853211009,0.6998019141031103,0.3307057499199714,0.9949196738743784,0.9949196738743783,O43707/P35221/P50552/P63261/Q8TCZ2/P60953/O60716,7
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,10/436,21/1067,0.47619047619047616,1.1653560506771516,0.6358739940975607,0.3366117328008511,0.9949196738743784,0.9949196738743783,P27348/P63104/O43306/Q04917/P62877/P63208/Q9UQE7/P62258/Q08209/P51812,10
Human Diseases,Infectious disease: bacterial,hsa05100,Bacterial invasion of epithelial cells,10/436,21/1067,0.47619047619047616,1.1653560506771516,0.6358739940975607,0.3366117328008511,0.9949196738743784,0.9949196738743783,P35221/P08648/P61158/P63261/P60953/P46109/P50570/Q00610/P09497/Q14247,10
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,10/436,21/1067,0.47619047619047616,1.1653560506771516,0.6358739940975607,0.3366117328008511,0.9949196738743784,0.9949196738743783,O00571/P27348/P63104/P55957/Q7Z434/P12004/Q9Y277/Q16531/Q15904/Q14790,10
Cellular Processes,Cell growth and death,hsa04210,Apoptosis,13/436,28/1067,0.4642857142857143,1.136222149410223,0.6069125775950013,0.33692586130949376,0.9949196738743784,0.9949196738743783,Q13813/P07339/P20700/Q13546/P55957/P02545/Q03252/O00273/P63261/Q9NR28/P09874/Q14790/O95831,13
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,13/436,28/1067,0.4642857142857143,1.136222149410223,0.6069125775950013,0.33692586130949376,0.9949196738743784,0.9949196738743783,P10321/Q13144/P27797/P55957/P84103/Q7Z434/P08648/P30101/Q07955/Q14790/P04440/Q13242/Q86V81,13
Genetic Information Processing,Translation,hsa03013,Nucleocytoplasmic transport,23/436,52/1067,0.4423076923076923,1.0824364855328157,0.5064018534257954,0.3562447764579587,0.9949196738743784,0.9949196738743783,P12270/P35658/Q9BVL2/P62826/P63279/P37198/Q9H307/P52292/Q14974/P52948/Q96FV9/Q7Z3B4/P46060/O95373/Q9H814/O00410/P49792/Q8N1F7/O15234/Q9UMR2/P49790/Q86V81/P38919,23
Metabolism,Amino acid metabolism,hsa00250,"Alanine, aspartate and glutamate metabolism",5/436,10/1067,0.5,1.223623853211009,0.5903204115803988,0.3882823114108219,0.9949196738743784,0.9949196738743783,P30566/P27708/P00505/P30520/O94925,5
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,5/436,10/1067,0.5,1.223623853211009,0.5903204115803988,0.3882823114108219,0.9949196738743784,0.9949196738743783,P22033/P40939/Q96I99/P30084/Q9P2R7,5
Organismal Systems,Immune system,hsa04622,RIG-I-like receptor signaling pathway,5/436,10/1067,0.5,1.223623853211009,0.5903204115803988,0.3882823114108219,0.9949196738743784,0.9949196738743783,O00571/Q13546/Q7Z434/Q96G74/Q14790,5
Organismal Systems,Immune system,hsa04623,Cytosolic DNA-sensing pathway,5/436,10/1067,0.5,1.223623853211009,0.5903204115803988,0.3882823114108219,0.9949196738743784,0.9949196738743783,Q13546/Q7Z434/P52434/P19388/Q14790,5
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,5/436,10/1067,0.5,1.223623853211009,0.5903204115803988,0.3882823114108219,0.9949196738743784,0.9949196738743783,P07900/Q15717/P14625/Q07955/Q14790,5
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,13/436,29/1067,0.4482758620689655,1.0970420752926289,0.440217765581328,0.39791164951758046,0.9949196738743784,0.9949196738743783,P35080/O43707/Q13153/P08648/P46940/P35579/P61158/P63261/P07737/P60953/P46109/P35580/Q13177,13
Genetic Information Processing,Translation,hsa03015,mRNA surveillance pathway,14/436,32/1067,0.4375,1.070670871559633,0.33725036546624665,0.434552456379771,0.9949196738743784,0.9949196738743783,Q13148/P62495/P11940/P35637/Q9H307/P51003/O43809/Q9P2I0/Q86U42/O15234/Q13310/Q9UMR2/Q86V81/P38919,14
Metabolism,Global and overview maps,hsa01212,Fatty acid metabolism,6/436,13/1067,0.46153846153846156,1.129498941425547,0.39032355123550094,0.45099113348798126,0.9949196738743784,0.9949196738743783,P40939/P22307/P49327/P30084/P55084/Q9BWD1,6
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,6/436,13/1067,0.46153846153846156,1.129498941425547,0.39032355123550094,0.45099113348798126,0.9949196738743784,0.9949196738743783,P25098/O43306/Q13153/Q01970/P60953/P46109,6
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,6/436,13/1067,0.46153846153846156,1.129498941425547,0.39032355123550094,0.45099113348798126,0.9949196738743784,0.9949196738743783,O43306/O14641/P07954/Q01970/Q15291/P08047,6
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,24/436,57/1067,0.42105263157894735,1.030420086914534,0.1961301492689305,0.4739909007705313,0.9949196738743784,0.9949196738743783,P10321/P25098/P11142/Q9Y371/Q9Y6I3/P33176/Q9UBC2/P11717/Q9H4M9/Q96QK1/P63010/Q9BRG1/P61158/Q15907/Q8WUM4/O95219/Q7Z3T8/P60953/P51149/P02786/P50570/Q00610/P09497/Q9Y5X3,24
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,10/436,23/1067,0.43478260869565216,1.0640207419226166,0.2578941784933121,0.47760698769601206,0.9949196738743784,0.9949196738743783,P35080/O43306/Q9Y490/P50552/Q01970/P63261/P07737/P60953/P46109/O60716,10
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,10/436,23/1067,0.43478260869565216,1.0640207419226166,0.2578941784933121,0.47760698769601206,0.9949196738743784,0.9949196738743783,P07339/P10253/P11717/Q10567/O43747/Q15904/Q00610/P09497/P06280/O14773,10
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,46/436,111/1067,0.4144144144144144,1.0141747251838995,0.13108541045351046,0.4864090645926,0.9949196738743784,0.9949196738743783,P28331/P55072/P20618/Q13148/P09936/P62191/P20674/P14406/P35637/P33176/Q14203/O14641/P55957/P43686/Q9UNM6/P22314/P07197/P04040/P51665/P25705/Q01970/Q9Y277/O14818/P11021/P14854/Q12931/P17980/O75251/P07196/P60900/Q07866/P06576/P18859/P60604/O43181/Q14790/P22695/Q99714/P62195/Q08209/Q13200/Q8WWM7/Q13561/P07437/Q99460/P68036,46
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,5/436,11/1067,0.45454545454545453,1.1123853211009174,0.31130144858470493,0.491114713367229,0.9949196738743784,0.9949196738743783,P48506/Q9Y277/Q15366/P02786/P08195,5
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,5/436,11/1067,0.45454545454545453,1.1123853211009174,0.31130144858470493,0.491114713367229,0.9949196738743784,0.9949196738743783,P62877/P63208/Q7Z3T8/P02786/P08047,5
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,6/436,14/1067,0.42857142857142855,1.0488204456094363,0.1527772676943055,0.5412051711639889,0.9949196738743784,0.9949196738743783,P30837/P00505/P52788/P13674/P28838/P04181,6
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,6/436,14/1067,0.42857142857142855,1.0488204456094363,0.1527772676943055,0.5412051711639889,0.9949196738743784,0.9949196738743783,P55072/P10809/P11142/P26641/Q14790/Q9NR31,6
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,8/436,19/1067,0.42105263157894735,1.030420086914534,0.11116390056315296,0.5436742449257799,0.9949196738743784,0.9949196738743783,P05023/O43306/P78347/P50552/Q01970/Q9Y277/O14654/Q08209,8
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,10/436,24/1067,0.4166666666666667,1.0196865443425078,0.08104759336405688,0.5462488095945419,0.9949196738743784,0.9949196738743783,P27348/P60228/P63104/Q13546/P55957/Q7Z434/Q04917/P62258/P61289/Q14790,10
Genetic Information Processing,"Folding, sorting and degradation",hsa03050,Proteasome,12/436,29/1067,0.41379310344827586,1.0126542233470421,0.05740410961125699,0.5488108632649754,0.9949196738743784,0.9949196738743783,P20618/P62191/P43686/Q9UNM6/P51665/O14818/P17980/P60900/P61289/P62195/Q13200/Q99460,12
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,9/436,22/1067,0.4090909090909091,1.0011467889908257,0.004515895437892142,0.5797624574922557,0.9949196738743784,0.9949196738743783,P21333/P11142/Q13153/P16949/P60953/P46109/Q08209/P51812/Q13177,9
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",7/436,17/1067,0.4117647058823529,1.0076902320561252,0.026556841620077057,0.5818446586594344,0.9949196738743784,0.9949196738743783,P22033/P40939/P30837/P30084/P55084/Q99714/Q9BWD1,7
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,25/436,62/1067,0.4032258064516129,0.9867934300088782,-0.08902459745181131,0.5851263339873314,0.9949196738743784,0.9949196738743783,P35080/P07900/P21333/P63167/P33176/Q13546/Q14203/P14625/Q13153/Q9Y6G9/P04406/P63208/P61158/Q9Y5X1/P63261/Q07866/Q09666/P07737/P60953/P51149/P50570/Q14790/Q13561/P07437/Q14204,25
Metabolism,Amino acid metabolism,hsa00310,Lysine degradation,5/436,12/1067,0.4166666666666667,1.0196865443425078,0.05698244105900238,0.5867549681629944,0.9949196738743784,0.9949196738743783,O00469/P40939/P30837/P30084/Q9BWD1,5
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,5/436,12/1067,0.4166666666666667,1.0196865443425078,0.05698244105900238,0.5867549681629944,0.9949196738743784,0.9949196738743783,P04040/P40939/P30837/P30084/Q9BWD1,5
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,5/436,12/1067,0.4166666666666667,1.0196865443425078,0.05698244105900238,0.5867549681629944,0.9949196738743784,0.9949196738743783,P48506/P09211/P52788/P28838/P11413,5
Human Diseases,Neurodegenerative disease,hsa05017,Spinocerebellar ataxia,16/436,40/1067,0.4,0.9788990825688073,-0.11301947336712011,0.6055795559843717,0.9949196738743784,0.9949196738743783,P20618/P62191/P43686/Q9UNM6/P51665/Q01970/Q9Y277/O14818/P17980/P60900/Q14671/P08047/P62195/Q13200/Q8WWM7/Q99460,16
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,14/436,35/1067,0.4,0.9788990825688073,-0.10546362114479862,0.606570375082522,0.9949196738743784,0.9949196738743783,Q9Y478/P34932/O43707/P16989/P50552/P60660/P35579/P12004/P61158/Q4VCS5/P63261/P60953/Q14247/P35580,14
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,13/436,33/1067,0.3939393939393939,0.9640672782874617,-0.17421838433479528,0.6346558736686222,0.9949196738743784,0.9949196738743783,P27348/P33993/P63104/P33991/Q04917/P78527/P12004/Q7Z5K2/P62877/P63208/Q9UQE7/P62258/P25205,13
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,4/436,10/1067,0.4,0.9788990825688073,-0.05570202857989412,0.6398884430495306,0.9949196738743784,0.9949196738743783,P60174/Q13630/P34949/P09972,4
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,4/436,10/1067,0.4,0.9788990825688073,-0.05570202857989412,0.6398884430495306,0.9949196738743784,0.9949196738743783,P55957/Q9NR09/Q9NR28/Q14790,4
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,4/436,10/1067,0.4,0.9788990825688073,-0.05570202857989412,0.6398884430495306,0.9949196738743784,0.9949196738743783,Q13153/P60953/Q08209/Q13177,4
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,4/436,10/1067,0.4,0.9788990825688073,-0.05570202857989412,0.6398884430495306,0.9949196738743784,0.9949196738743783,P10321/P19022/Q8TCZ2/P04440,4
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,4/436,10/1067,0.4,0.9788990825688073,-0.05570202857989412,0.6398884430495306,0.9949196738743784,0.9949196738743783,P63010/P50570/Q00610/P09497,4
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,4/436,10/1067,0.4,0.9788990825688073,-0.05570202857989412,0.6398884430495306,0.9949196738743784,0.9949196738743783,P33176/P21964/Q01970/Q08209,4
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,7/436,18/1067,0.3888888888888889,0.9517074413863404,-0.17168639888242107,0.655275454584565,0.9949196738743784,0.9949196738743783,P08648/P61158/P63261/P60953/P46109/Q16513/P51812,7
Genetic Information Processing,Chromosome,hsa03082,ATP-dependent chromatin remodeling,10/436,26/1067,0.38461538461538464,0.9412491178546225,-0.25198974585251505,0.6712309569014753,0.9949196738743784,0.9949196738743783,Q8WXI9/Q9Y230/Q92785/Q9Y5K5/P63261/O96019/P25490/Q8IUE6/Q8TAQ2/Q92922,10
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,5/436,13/1067,0.38461538461538464,0.9412491178546225,-0.17708139313545193,0.6716073648348773,0.9949196738743784,0.9949196738743783,P40939/P30837/P30084/P55084/Q9BWD1,5
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,5/436,13/1067,0.38461538461538464,0.9412491178546225,-0.17708139313545193,0.6716073648348773,0.9949196738743784,0.9949196738743783,O14641/Q6IAA8/P23588/P08195/P51812,5
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,5/436,13/1067,0.38461538461538464,0.9412491178546225,-0.17708139313545193,0.6716073648348773,0.9949196738743784,0.9949196738743783,P52565/P62258/P60953/P46109/P51812,5
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,5/436,13/1067,0.38461538461538464,0.9412491178546225,-0.17708139313545193,0.6716073648348773,0.9949196738743784,0.9949196738743783,P28331/O43306/Q01970/O75251/O43181,5
Cellular Processes,Cell motility,hsa04814,Motor proteins,13/436,34/1067,0.38235294117647056,0.9357123583378305,-0.3165366191432863,0.686243913678571,0.9949196738743784,0.9949196738743783,P68133/P63167/P33176/Q14203/Q9Y6G9/P60660/P35579/P63261/Q07866/Q13561/P07437/Q14204/P35580,13
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle),6/436,16/1067,0.375,0.9177178899082569,-0.27553147755413643,0.697867325271645,0.9949196738743784,0.9949196738743783,P07954/P50213/Q96I99/Q99798/Q9P2R7/P53396,6
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,6/436,16/1067,0.375,0.9177178899082569,-0.27553147755413643,0.697867325271645,0.9949196738743784,0.9949196738743783,O43707/P35221/P46940/P63261/P60953/O60716,6
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,7/436,19/1067,0.3684210526315789,0.9016175760502173,-0.3595181704721024,0.7203761602188564,0.9949196738743784,0.9949196738743783,P07339/Q9Y371/Q9NR09/O14654/Q9NT62/P78318/P51149,7
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,7/436,19/1067,0.3684210526315789,0.9016175760502173,-0.3595181704721024,0.7203761602188564,0.9949196738743784,0.9949196738743783,Q15185/P07900/O43306/P14625/P52292/Q14974/P51812,7
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,4/436,11/1067,0.36363636363636365,0.8899082568807339,-0.30494835779726204,0.7249020028679889,0.9949196738743784,0.9949196738743783,P10253/P46976/P06737/P36871,4
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,4/436,11/1067,0.36363636363636365,0.8899082568807339,-0.30494835779726204,0.7249020028679889,0.9949196738743784,0.9949196738743783,P09211/P55957/Q14790/P43246,4
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,10/436,27/1067,0.37037037037037035,0.9063880394155623,-0.4093584135472486,0.7254549470288745,0.9949196738743784,0.9949196738743783,P07900/P27348/P63104/P14625/Q04917/P08648/P23588/P62258/P11047/Q16513,10
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,10/436,27/1067,0.37037037037037035,0.9063880394155623,-0.4093584135472486,0.7254549470288745,0.9949196738743784,0.9949196738743783,P07900/Q13546/P55957/Q9Y277/P62937/P09874/Q14790/P06737/Q8IUE6/O95831,10
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,16/436,43/1067,0.37209302325581395,0.9106037977384254,-0.49717637817094223,0.7421112176387055,0.9949196738743784,0.9949196738743783,P35080/O43707/Q13546/Q9Y490/P08648/Q01970/P62877/P63208/P61158/P63261/P20810/P07737/P60953/P46109/Q14247/P04632,16
